"Pathway_Code","Pathway_Name","Gene"
"mTORC1","mTORC1 signaling pathway","ADIPOR2"
"mTORC1","mTORC1 signaling pathway","AK4"
"mTORC1","mTORC1 signaling pathway","ALDOA"
"mTORC1","mTORC1 signaling pathway","ARPC5L"
"mTORC1","mTORC1 signaling pathway","ASNS"
"mTORC1","mTORC1 signaling pathway","ATP2A2"
"mTORC1","mTORC1 signaling pathway","ATP5MC1"
"mTORC1","mTORC1 signaling pathway","ATP6V1D"
"mTORC1","mTORC1 signaling pathway","AURKA"
"mTORC1","mTORC1 signaling pathway","BCAT1"
"mTORC1","mTORC1 signaling pathway","BHLHE40"
"mTORC1","mTORC1 signaling pathway","BTG2"
"mTORC1","mTORC1 signaling pathway","BUB1"
"mTORC1","mTORC1 signaling pathway","CACYBP"
"mTORC1","mTORC1 signaling pathway","CALR"
"mTORC1","mTORC1 signaling pathway","CANX"
"mTORC1","mTORC1 signaling pathway","CCNF"
"mTORC1","mTORC1 signaling pathway","CCNG1"
"mTORC1","mTORC1 signaling pathway","CCT6A"
"mTORC1","mTORC1 signaling pathway","CD9"
